Date: 8th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
48,2,39,156,244,48,18,156,115,20,148,139,500
48,2,39,156,244,48,18,156,115,20,148,139,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
45,2,41,153,244,45,17,156,113,19,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
45,2,41,153,244,45,17,156,113,19,147,140,500
47,2,39,155,244,47,18,155,115,20,147,139,500
47,2,39,155,244,47,18,155,115,20,147,139,500
47,1,42,153,250,47,18,156,113,19,148,141,500
47,2,42,153,244,47,18,156,113,20,147,140,500
46,2,42,153,244,46,18,156,113,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
45,2,41,153,244,45,17,156,113,19,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
46,2,42,153,244,46,18,156,113,20,147,140,500
47,2,42,153,244,47,18,156,113,20,147,140,500
47,1,42,153,250,47,18,156,113,19,148,141,500
47,2,42,153,244,47,18,156,113,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
46,2,40,154,244,46,18,155,114,19,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,39,155,244,47,18,155,115,20,147,139,500
47,2,39,155,244,47,18,155,115,20,147,139,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,42,153,244,47,18,156,113,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,42,153,244,47,18,156,113,20,147,140,500
48,2,39,156,244,48,18,156,115,20,148,139,500
48,2,39,156,244,48,18,156,115,20,148,139,500
47,2,39,155,244,47,18,155,115,20,147,139,500
46,2,39,155,244,46,18,154,115,19,147,139,500
48,2,40,155,244,48,19,156,115,20,148,139,500
47,2,39,155,244,47,18,155,115,20,147,139,500
48,2,39,156,244,48,18,156,115,20,148,139,500
47,2,42,153,244,47,18,156,113,20,147,140,500
48,2,39,156,244,48,18,156,115,20,148,139,500
48,2,39,156,244,48,18,156,115,20,148,139,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
48,2,40,155,244,48,19,156,115,20,148,139,500
48,2,39,156,244,48,18,156,115,20,148,139,500
47,2,39,155,244,47,18,155,115,20,147,139,500
46,2,41,153,244,46,18,155,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
48,2,39,156,244,48,18,156,115,20,148,139,500
48,2,41,155,244,48,19,156,115,20,148,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
46,2,40,154,244,46,18,155,114,19,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,39,155,244,47,18,155,115,20,147,139,500
46,2,38,155,244,46,18,154,116,19,147,139,500
47,2,42,153,244,47,18,156,113,20,147,140,500
47,2,42,153,244,47,18,156,113,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,42,153,244,47,18,156,113,20,147,140,500
45,2,41,153,244,45,17,156,113,19,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
48,2,39,156,244,48,18,156,115,20,148,139,500
47,2,42,153,244,47,18,156,113,20,147,140,500
46,2,41,153,244,46,18,155,114,20,147,140,500
48,2,39,156,244,48,18,156,115,20,148,139,500
48,2,39,156,244,48,18,156,115,20,148,139,500
47,2,39,155,244,47,18,155,115,20,147,139,500
45,2,41,153,244,45,17,156,113,19,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
45,2,41,153,244,45,17,156,113,19,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
46,2,41,153,244,46,18,155,114,20,147,140,500
56,6,45,157,228,56,27,157,116,25,150,139,600
56,6,45,157,228,56,27,157,116,25,150,139,600
56,7,44,157,223,56,27,156,117,26,149,138,600
56,7,45,157,223,56,27,157,116,26,149,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
55,6,45,156,227,55,26,157,115,25,149,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
57,7,45,157,224,57,27,158,116,26,150,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
54,6,44,156,227,54,25,157,116,25,149,139,600
55,6,45,156,227,55,26,157,115,25,149,139,600
56,6,45,157,228,56,27,157,116,25,150,139,600
55,6,44,157,227,55,26,156,116,25,149,139,600
56,6,45,157,228,56,27,157,116,25,150,139,600
55,6,44,157,227,55,26,156,116,25,149,139,600
57,7,45,157,224,57,27,158,116,26,150,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
56,6,46,156,228,56,27,157,115,26,149,139,600
56,6,45,157,228,56,27,157,116,25,150,139,600
56,7,44,157,223,56,27,156,117,26,149,138,600
57,7,44,158,224,57,27,157,117,26,150,138,600
56,7,45,157,223,56,27,157,116,26,149,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
55,6,45,156,227,55,26,157,115,25,149,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
55,6,45,156,227,55,26,157,115,25,149,139,600
56,6,45,157,228,56,27,157,116,25,150,139,600
56,6,45,157,228,56,27,157,116,25,150,139,600
56,7,45,157,223,56,27,157,116,26,149,139,600
